strokes,character,decomposition,pinyin_readings,freq_rank,count,encoding,composition,retokenized
-ii-iv--ijvvl,靸,靸 → ⿰革及,sa3,6857.0,15.0,._.h-o0.94,⿰革及,._.h-o0.94
-ii-iv--il-iv-vi-j-jl,䪃,䪃 → 革敦 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 敦 → 享攵 | 享 → 亠口子 | 子 → 了一 | 了 → 乛亅 | 攵 → 𠂉乂,,,,,,
-ii-iv--il-iv-vi-vi,鞹,鞹 → 革郭 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 郭 → 享阝 | 享 → 亠口子 | 子 → 了一 | 了 → 乛亅,,,,,,
-ii-iv--il-j-ii-vl,䩲,䩲 → 革度 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 度 → 广廿又 | 广 → 丶厂 | 廿 → 卄一,,,,,,
-ii-iv--il-jvii--ivllll,韀,韀 → 革廌 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 廌 → 广コ丨丨㇉一灬 | 广 → 丶厂,,,,,,
-ii-iv--il-lj-iv-,鞛,鞛 → ⿰革咅 | 咅 → ⿱立口 | 立 → ⿱亠䒑,beng3,9627.0,1.0,._.h-o0.|.|.=V.hVX.o,⿰革⿱⿱亠䒑口,._.h-o0.|.|.=V.hVX.o
-ii-iv--il-lj-jvl--v-v---,䪊,䪊 → 革龍 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 龍 → 𦚏𠃑一乚亖 | 𦚏 → 立月 | 立 → 亠䒑 | 亖 → 二二,,,,,,
-ii-iv--il-ljlvl-jv,䩷,䩷 → 革旁 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 旁 → 亠丷冖方 | 方 → 丶万 | 万 → 丆𠃌,,,,,,
-ii-iv--il-vvl,䩙,䩙 → 革玄 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 玄 → 亠幺 | 幺 → 𠃋厶,,,,,,
-ii-iv--ilj-ivjv--,鞧,鞧 → ⿰革酋 | 酋 → ⿱丷酉 | 酉 → ⿴西一,qiu1,8248.0,3.0,._.h-o0.|.8V.).-ny-.-,⿰革⿱丷⿴西一,._.h-o0.|.8V.).-ny-.-
-ii-iv--illviv-v-lvll,䪀,䪀 → 革悹 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 悹 → 官心 | 官 → 宀㠯 | 宀 → 丶冖 | 㠯 → 丨ココ,,,,,,
-ii-iv--illvjl-i-,鞚,鞚 → ⿰革空 | 空 → ⿱穴工 | 穴 → ⿱宀八 | 宀 → ⿱丶冖,kong4,7789.0,4.0,._.h-o0.|.|.|.\.nV.8.r-,⿰革⿱⿱⿱丶冖八工,._.h-o0.|.|.|.\.nV.8.r-
-ii-iv--illvjvlvv,䩩,䩩 → 革宛 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 宛 → 宀夗 | 宀 → 丶冖 | 夗 → 夕㔾 | 㔾 → 乚𠃌,,,,,,
-ii-iv--illvljjlvl,䩳,,,,,,,
-ii-iv--illvv-iv-,䩪,䩪 → 革官 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 官 → 宀㠯 | 宀 → 丶冖 | 㠯 → 丨ココ,,,,,,
-ii-iv--ilv-iv---i,䩵,䩵 → 革軍 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 軍 → 冖車,,,,,,
-ii-iv--ilvllj,䩛,䩛 → 革必 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 必 → 心丿,,,,,,
-ii-iv--iv----ivl,鞬,鞬 → ⿰革建 | 建 → ⿺廴聿,jian1,6401.0,34.0,._.h-o0._.4A.c3l,⿰革⿺廴聿,._.h-o0._.4A.c3l
-ii-iv--iv--vjl,鞎,鞎 → ⿰革艮,hen2,8432.0,2.0,._.h-o0.c-va,⿰革艮,._.h-o0.c-va
-ii-iv--iv-i-,靵,靵 → ⿰革丑 | 丑 → ⿴ユ十,niu3,9625.0,1.0,._.h-o0.).cX.0,⿰革⿴ユ十,._.h-o0.).cX.0
-ii-iv--ivi-v,靶,靶 → ⿰革巴 | 巴 → ⿴巳丨 | 巳 → ⿺乚コ,ba3,3237.0,1411.0,._.h-o0.)._.Vl-X.c.l,⿰革⿴⿺乚コ丨,._.h-o0.)._.Vl-X.c.l
-ii-iv--iviiv-vl-,䩯,䩯 → 革亟 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 亟 → 了叹一 | 了 → 乛亅 | 叹 → 口又,,,,,,
-ii-iv--ivij-iv-i-l,䩶,䩶 → 革蚩 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 蚩 → 㞢虫 | 㞢 → 屮一 | 屮 → 凵丨,,,,,,
-ii-iv--ivjiv-,鞀,鞀 → 革召 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 召 → 刀口,,,,,,
-ii-iv--ivjivl,鞁,鞁 → 革皮 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 皮 → 丨又丿乛,,,,,,
-ii-iv--ivjl,靭,靭 → ⿰革刃,ren4,8086.0,3.0,._.h-o0.v/l,⿰革刃,._.h-o0.v/l
-ii-iv--ivjl,靱,靱 → ⿰革刄 | 刄 → ⿻刀㇏,ren4,9321.0,1.0,._.h-o0.).v/.\XX,⿰革⿻刀㇏,._.h-o0.).v/.\XX
-ii-iv--ivll,靫,靫 → 革叉 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 叉 → 又丶,,,,,,
-ii-iv--ivv-il-jl,䩮,䩮 → 革录 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨 | 录 → 彐氺 | 彐 → コ一,,,,,,
-ii-iv--ivvlvvl-jlvjl,鞿,鞿 → ⿰革幾 | 幾 → ⿻⿻𢆶戈人,ji1,9324.0,1.0,._.h-o0.).).vdvd.-va.a,⿰革⿻⿻𢆶戈人,._.h-o0.).).vdvd.-va.a
-ii-iv--ivvvivjl-v--v--v,䪉,,,,,,,
-ii-iv--j-jl,㪚,㪚 → 昔攵 | 昔 → 龷日 | 龷 → 艹一 | 攵 → 𠂉乂,,,,,,
-ii-iv--j-jl,散,散 → ⿰⿱龷月攵 | 龷 → ⿱艹一 | 攵 → ⿱𠂉乂,san3/san4,866.0,39336.0,._.|.|.hV.-.g.|.fV.x,⿰⿱⿱艹一月⿱𠂉乂,._.|.|.hV.-.g.|.fV.x
-ii-iv--jil---i-,䧿,䧿 → 昔隹 | 昔 → 龷日 | 龷 → 艹一,,,,,,
-ii-iv--jiv---vllll,鵲,鵲 → ⿰昔鳥 | 昔 → ⿱龷日 | 龷 → ⿱艹一,que4,7838.0,4.0,._.|.|.hV.-.b.9\cT,⿰⿱⿱艹一日鳥,._.|.|.hV.-.b.9\cT
-ii-iv--jvivl,皵,皵 → 昔皮 | 昔 → 龷日 | 龷 → 艹一 | 皮 → 丨又丿乛,,,,,,
-ii-iv--jvlv-,鹊,鹊 → ⿰昔鸟 | 昔 → ⿱龷日 | 龷 → ⿱艹一,que4,3525.0,999.0,._.|.|.hV.-.b.9\cS,⿰⿱⿱艹一日鸟,._.|.|.hV.-.b.9\cS
-ii-iv--lvvl,逪,逪 → 辶昔 | 辶 → 丶𠃍乀 | 昔 → 龷日 | 龷 → 艹一,,,,,,
-ii-iv-i--vjjiv---vllll,鷰,鷰 → 廿北口鳥 | 廿 → 卄一 | 北 → 一㇀丨匕,,,,,,
-ii-iv-i--vjljjl,㷼,㷼 → 廿北口火 | 廿 → 卄一 | 北 → 一㇀丨匕,,,,,,
-ii-iv-i--vjllll,燕,燕 → ⿳廿⿴北口灬 | 廿 → ⿵卄一,yan1/yan4,1705.0,10325.0,.||.).h.-.).j7.o.w\V,⿳⿵卄一⿴北口灬,.||.).h.-.).j7.o.w\V
-ii-iv-i--vjlllliv--,㬫,㬫 → 燕日 | 燕 → 廿北口灬 | 廿 → 卄一 | 北 → 一㇀丨匕,,,,,,
-ii-iv-i--vjlllljiv---vllll,䴏,䴏 → 燕鳥 | 燕 → 廿北口灬 | 廿 → 卄一 | 北 → 一㇀丨匕,,,,,,
-ii-iv-i--vjllllvvi,酀,酀 → ⿰燕阝 | 燕 → ⿳廿⿴北口灬 | 廿 → ⿵卄一,yan3,8180.0,3.0,._.||.).h.-.).j7.o.w\V.vvi,⿰⿳⿵卄一⿴北口灬阝,._.||.).h.-.).j7.o.w\V.vvi
-ii-iv-i--vjvj-,嬊,,,,,,,
-ii-iv-i-jl-i--i-,黊,黊 → 黄圭 | 黄 → 龷由八 | 龷 → 艹一 | 由 → 日丨 | 圭 → 土土,,,,,,
-ii-iv-i-jl-jjv--,䵋,䵋 → 黃有 | 黃 → 廿一由八 | 廿 → 卄一 | 由 → 日丨 | 有 → 𠂇月 | 𠂇 → 一丿,,,,,,
-ii-iv-i-jljllv,黅,黅 → 黄今 | 黄 → 龷由八 | 龷 → 艹一 | 由 → 日丨 | 今 → 亽㇇,,,,,,
-ii-iv-i-jlvl-vl-jljjj,䵏,䵏 → 黃翏 | 黃 → 廿一由八 | 廿 → 卄一 | 由 → 日丨 | 翏 → 羽㐱 | 羽 → 习习 | 习 → 𠃌冫 | 习 → 𠃌冫 | 㐱 → 𠆢彡,,,,,,
-ii-iv-ivlj-ijvlv-,𬟁,𬟁 → 艹鹝 | 鹝 → 鬲鸟 | 鬲 → 𠮛冂䒑丨 | 𠮛 → 一口,,,,,,
-ii-ivijljl-jiv---jl,顢,顢 → 㒼頁 | 㒼 → 廿巾𠓜 | 廿 → 卄一 | 巾 → 冂丨 | 𠓜 → 入入 | 頁 → 丆貝 | 貝 → 目八,,,,,,
-ii-ivjljl,𬜯,𬜯 → 艹两 | 两 → 一冂从 | 从 → 人人,,,,,,
-ii-jiv--i-vv-vjvjvl,蘷,蘷 → 艹百止巳八夂 | 百 → 一白 | 白 → 丿日 | 巳 → 乚コ,,,,,,
-ii-jivjlvjl,蒇,蒇 → ⿱艹⿵戊贝,chan3,7435.0,6.0,.|.hV.).rva.e8S,⿱艹⿵戊贝,.|.hV.).rva.e8S
-ii-jl,共,共 → ⿱龷八 | 龷 → ⿱艹一,gong4,330.0,128824.0,.|.|.hV.-.8,⿱⿱艹一八,.|.|.hV.-.8
-ii-jlijll,恭,恭 → ⿱共㣺 | 共 → ⿱龷八 | 龷 → ⿱艹一 | 㣺 → ⿰忄丶,gong1,1742.0,9787.0,.|.|.|.hV.-.8._.wA.\,⿱⿱⿱艹一八⿰忄丶,.|.|.|.hV.-.8._.wA.\
-ii-jliv-vi-v,䢽,䢽 → 共邑 | 共 → 龷八 | 龷 → 艹一,,,,,,
-ii-jlj--i,拲,拲 → 共手 | 共 → 龷八 | 龷 → 艹一,,,,,,
-ii-jljiv---vllll,䳍,䳍 → 共鳥 | 共 → 龷八 | 龷 → 艹一,,,,,,
-ii-jllvl,荙,荙 → 艹达 | 达 → 辶大 | 辶 → 丶𠃍乀,da2,9900.0,1.0,,,
-ii-jlvi,䢼,䢼 → 共阝 | 共 → 龷八 | 龷 → 艹一,,,,,,
-ii-jvjl,茂,茂 → ⿱艹戊,mao4,2309.0,4798.0,.|.hV.rva,⿱艹戊,.|.hV.rva
-ii-jvjl,茏,茏 → ⿱艹龙,long2,4743.0,239.0,.|.hV.rvaS,⿱艹龙,.|.hV.rvaS
-ii-jvlviviiv-i-jl,䠠,䠠 → 帶足 | 帶 → 廿儿冖巾 | 廿 → 卄一 | 巾 → 冂丨 | 足 → 口龰,,,,,,
-ii-jvlvivilvll,慸,慸 → 帶心 | 帶 → 廿儿冖巾 | 廿 → 卄一 | 巾 → 冂丨,,,,,,
-ii-jvlvivilvvl,遰,遰 → 辶帶 | 辶 → 丶𠃍乀 | 帶 → 廿儿冖巾 | 廿 → 卄一 | 巾 → 冂丨,,,,,,
-ii-lj-ijl,莱,莱 → ⿱艹来 | 来 → ⿻未丷,lai2,1196.0,22187.0,.|.hV.).-m.8V,⿱艹⿻未丷,.|.hV.).-m.8V
-ii-ljjl,炗,炗 → 廿火 | 廿 → 卄一,,,,,,
-ii-v,䒓,䒓 → 艹丂 | 丂 → 一㇉,,,,,,
-ii-v,世,世 → ⿻廿𠃊 | 廿 → ⿵卄一,shi4,181.0,214990.0,.).).h.-.Vl-,⿻⿵卄一𠃊,.).).h.-.Vl-
-ii-v-ijllvvl,䢡,䢡 → 辶枼 | 辶 → 丶𠃍乀 | 枼 → 世木 | 世 → 廿𠃊 | 廿 → 卄一,,,,,,
-ii-viv---jl,貰,貰 → 世貝 | 世 → 廿𠃊 | 廿 → 卄一 | 貝 → 目八,,,,,,
-ii-viv---jlvj,勩,勩 → 貰力 | 貰 → 世貝 | 世 → 廿𠃊 | 廿 → 卄一 | 貝 → 目八,,,,,,
-ii-vivjlvj,勚,勚 → 贳力 | 贳 → 世贝 | 世 → 廿𠃊 | 廿 → 卄一 | 贝 → 冂人,,,,,,
-ii-vj-jv,荛,荛 → ⿱艹尧 | 尧 → ⿱𭠍兀 | 𭠍 → ⿻丿𫠠 | 𫠠 → ⿻一㇂ | 兀 → ⿱一儿,rao2,5272.0,141.0,.|.hV.|.)./.).-.Vl.|.-.y,⿱艹⿱⿻丿⿻一㇂⿱一儿,.|.hV.|.)./.).-.Vl.|.-.y
-ii-vlvvl,迣,迣 → 辶世 | 辶 → 丶𠃍乀 | 世 → 廿𠃊 | 廿 → 卄一,,,,,,
-iii,卅,卅 → ⿻川一 | 川 → ⿲丿丨丨,sa4,4090.0,529.0,.).__./.l.l.-,⿻⿲丿丨丨一,.).__./.l.l.-
-iii--,䒙,䒙 → 艹上 | 上 → ⺊一,,,,,,
-iii--ijl,茮,茮 → 艹尗 | 尗 → 上小 | 上 → ⺊一,,,,,,
-iii-lvivi,帯,帯 → 丗冖巾 | 丗 → 廿丨 | 廿 → 卄一 | 巾 → 冂丨,,,,,,
-iiiij-livii-,蓝,蓝 → ⿱艹监 | 监 → ⿱𰀢皿 | 𰀢 → ⿲丨丨⿱𠂉丶,la/lan2,1190.0,22437.0,.|.hV.|.__.l.l.|.fV.\.nh,⿱艹⿱⿲丨丨⿱𠂉丶皿,.|.hV.|.__.l.l.|.fV.\.nh
-iiil--i-,荘,荘 → ⿱艹壮 | 壮 → ⿰丬士 | 丬 → ⿰冫丨 | 士 → ⿱十一,zhuang1,8802.0,2.0,.|.hV._._.=A.l.|.0.-,⿱艹⿰⿰冫丨⿱十一,.|.hV._._.=A.l.|.0.-
-iiilviv-,𬜬,𬜬 → 艹问 | 问 → 门口 | 门 → 丨丶𠃌,,,,,,
-iiiv---il,莳,莳 → ⿱艹时 | 时 → ⿰日寸 | 寸 → ⿹𬺰丶,shi2/shi4,6133.0,52.0,.|.hV._.b.).0X.\,⿱艹⿰日⿹𬺰丶,.|.hV._.b.).0X.\
-iiiv-i-ivjl,蒉,蒉 → ⿱艹贵 | 贵 → ⿱𠀐贝 | 𠀐 → ⿱中一 | 中 → ⿻口丨,kui4,7710.0,5.0,.|.hV.|.|.).o.l.-.e8S,⿱艹⿱⿱⿻口丨一贝,.|.hV.|.|.).o.l.-.e8S
-iiivii-jvl,萝,萝 → ⿱艹罗 | 罗 → ⿱罒夕,luo2,2745.0,2694.0,.|.hV.|.nhV.9\,⿱艹⿱罒夕,.|.hV.|.nhV.9\
-iiivjlii,荝,荝 → 艹则 | 则 → 贝刂 | 贝 → 冂人 | 刂 → 丨亅,,,,,,
-iiivjv,苋,苋 → ⿱艹见 | 见 → ⿻冂儿,xian4,4820.0,218.0,.|.hV.).n.y,⿱艹⿻冂儿,.|.hV.).n.y
-iijl--vl,荟,荟 → ⿱艹会 | 会 → ⿱人云 | 云 → ⿱二厶,hui4,4007.0,574.0,.|.hV.|.a.|.=.d,⿱艹⿱人⿱二厶,.|.hV.|.a.|.=.d
-iijl-llj-,莶,莶 → ⿱艹佥 | 佥 → ⿳亼𭕄一 | 亼 → ⿱人一,xian1,6286.0,40.0,.|.hV.||.|.a.-.wV.-,⿱艹⿳⿱人一𭕄一,.|.hV.||.|.a.-.wV.-
-iijl-llj-j-jl,蔹,蔹 → 艹敛 | 敛 → 佥攵 | 佥 → 亼𭕄一 | 亼 → 人一 | 攵 → 𠂉乂,,,,,,
-iijlvv,苍,苍 → ⿱艹仓 | 仓 → ⿱人㔾 | 㔾 → ⿺乚𠃌,cang1,1728.0,10027.0,.|.hV.|.a._.Vl-X.V-lX,⿱艹⿱人⿺乚𠃌,.|.hV.|.a._.Vl-X.V-lX
-iijviv-i--ii,蓟,蓟 → ⿱艹𬶀 | 𬶀 → ⿰鱼刂,ji4,4290.0,421.0,.|.hV._.9u-S.8,⿱艹⿰鱼刂,.|.hV._.9u-S.8
-iijviv-i--lj---i,藓,藓 → ⿱艹鲜 | 鲜 → ⿰鱼羊 | 羊 → ⿱䒑𰀁,xian3,4187.0,469.0,.|.hV._.9u-S.|.hVX.jXX,⿱艹⿰鱼⿱䒑𰀁,.|.hV._.9u-S.|.hVX.jXX
-iijvj-jvl,莸,莸 → ⿱艹犹 | 犹 → ⿰犭尤 | 尤 → ⿺尢丶,you2,5354.0,130.0,.|.hV._./v/A._.rv.\,⿱艹⿰犭⿺尢丶,.|.hV._./v/A._.rv.\
-iijvlv-,茑,茑 → ⿱艹鸟,niao3,4983.0,185.0,.|.hV.9\cS,⿱艹鸟,.|.hV.9\cS
-iil-ijvl-il,蒋,蒋 → ⿱艹将 | 将 → ⿰丬𪧷 | 丬 → ⿰冫丨 | 𪧷 → ⿱夕寸 | 寸 → ⿹𬺰丶,jiang3,1172.0,23237.0,.|.hV._._.=A.l.|.9\.).0X.\,⿱艹⿰⿰冫丨⿱夕⿹𬺰丶,.|.hV._._.=A.l.|.9\.).0X.\
-iil-jlviivvl,蓠,蓠 → ⿱艹离 | 离 → ⿱㐫禸 | 㐫 → ⿱亠凶 | 凶 → ⿶凵㐅 | 禸 → ⿻冂厶,li2,7598.0,5.0,.|.hV.|.|.=V.).u.xX.).n.d,⿱艹⿱⿱亠⿶凵㐅⿻冂厶,.|.hV.|.|.=V.).u.xX.).n.d
-iilivjil---i-,蔺,蔺 → ⿱艹⿵门隹,lin4,5291.0,138.0,.|.hV.).\nS.a=j-,⿱艹⿵门隹,.|.hV.).\nS.a=j-
-iilj-,亚,亚 → ⿱一业,ya4,420.0,100251.0,.|.-.8h,⿱一业,.|.-.8h
-iilj-ijlvj-,蒌,蒌 → ⿱艹娄 | 娄 → ⿱米女 | 米 → ⿻丷木,lou2,5887.0,72.0,.|.hV.|.).8V.m./j-,⿱艹⿱⿻丷木女,.|.hV.|.).8V.m./j-
-iilj-ijlvj-j-jl,薮,薮 → ⿱艹数 | 数 → ⿰娄攵 | 娄 → ⿱米女 | 米 → ⿻丷木 | 攵 → ⿱𠂉乂,sou3,4835.0,215.0,.|.hV._.|.).8V.m./j-.|.fV.x,⿱艹⿰⿱⿻丷木女⿱𠂉乂,.|.hV._.|.).8V.m./j-.|.fV.x
-iilj-iv--,晋,晋 → ⿱亚日 | 亚 → ⿱一业,jin4,1645.0,11192.0,.|.|.-.8h.b,⿱⿱一业日,.|.|.-.8h.b
-iilj-iv---vjl,戬,戬 → ⿰晋戈 | 晋 → ⿱亚日 | 亚 → ⿱一业,jian3,5096.0,167.0,._.|.|.-.8h.b.-va,⿰⿱⿱一业日戈,._.|.|.-.8h.b.-va
-iilj-j,严,严 → ⿳一⿶䒑⿰丨丨厂,yan2,545.0,75278.0,.||.-.).hVX._.l.l.r,⿳一⿶䒑⿰丨丨厂,.||.-.).hVX._.l.l.r
-iilj-jvii-vjvj,䴡,No steps,,,,,,
-iiljiv---ijj-i,蕲,蕲 → ⿱艹⿰单斤 | 单 → ⿱丷⿻日十,qi2,5333.0,133.0,.|.hV._.|.8V.).b.0.//r,⿱艹⿰⿱丷⿻日十斤,.|.hV._.|.8V.).b.0.//r
-iill-iv---,菹,菹 → ⿱艹沮 | 沮 → ⿰氵且 | 且 → ⿱⺝一,zu1,5606.0,101.0,.|.hV._.3A.|.gA.-,⿱艹⿰氵⿱⺝一,.|.hV._.3A.|.gA.-
-iill-vjj,荡,荡 → ⿱艹汤 | 汤 → ⿰氵𠃓 | 𠃓 → ⿹㇡⿰丿丿,dang4,1424.0,15268.0,.|.hV._.3A.).v?._././,⿱艹⿰氵⿹㇡⿰丿丿,.|.hV._.3A.).v?._././
-iilv--i-l,莹,莹 → ⿱𫇦玉 | 𫇦 → ⿱艹冖 | 玉 → ⿱一圡 | 圡 → ⿷土丶,ying2,2668.0,2973.0,.|.|.hV.nV.|.-.).t.\,⿱⿱艹冖⿱一⿷土丶,.|.|.hV.nV.|.-.).t.\
-iilv--jvjjjljvlv-,鹲,鹲 → 蒙鸟 | 蒙 → 艹冡 | 冡 → 冖一豕,,,,,,
-iilv-i-,茔,茔 → ⿱𫇦土 | 𫇦 → ⿱艹冖,ying2,5697.0,93.0,.|.|.hV.nV.t,⿱⿱艹冖土,.|.|.hV.nV.t
-iilv-ivjv--,蒏,蒏 → 𫇦酉 | 𫇦 → 艹冖 | 酉 → 西一 | 西 → 一𠁤 | 𠁤 → 儿囗,,,,,,
-iilv-v-i,荤,荤 → ⿱艹军 | 军 → ⿱冖车,hun1,4295.0,419.0,.|.hV.|.nV.70S,⿱艹⿱冖车,.|.hV.|.nV.70S
-iilviv--,䒿,䒿 → 𫇦月 | 𫇦 → 艹冖,,,,,,
-iilviv--jvjlv,蔼,蔼 → ⿱艹谒 | 谒 → ⿰讠曷 | 讠 → 訁 | 曷 → ⿱曰匃 | 匃 → ⿹勹亾 | 亾 → ⿺𠃊人,ai3,3460.0,1075.0,.|.hV._.4oAS.|.bX.).9._.Vl-.a,⿱艹⿰讠⿱曰⿹勹⿺𠃊人,.|.hV._.4oAS.|.bX.).9._.Vl-.a
-iilviv-i-l,萤,萤 → ⿱𫇦虫 | 𫇦 → ⿱艹冖,ying2,3434.0,1103.0,.|.|.hV.nV.o0\,⿱⿱艹冖虫,.|.|.hV.nV.o0\
-iilvj--i,荦,荦 → ⿱𫇦牛 | 𫇦 → ⿱艹冖,luo4,6111.0,54.0,.|.|.hV.nV.f0,⿱⿱艹冖牛,.|.|.hV.nV.f0
-iilvj--ivi,䓨,䓨 → 𫇦缶 | 𫇦 → 艹冖 | 缶 → 午凵 | 午 → 𠂉十,,,,,,
-iilvjl--ilj-,蓥,蓥 → ⿱𫇦金 | 𫇦 → ⿱艹冖,ying2,6756.0,18.0,.|.|.hV.nV.ajh,⿱⿱艹冖金,.|.|.hV.nV.ajh
-iilvjvl,䒮,䒮 → 𫇦凡 | 𫇦 → 艹冖 | 凡 → 几丶 | 几 → 丿㇈,,,,,,
-iilvjvl,䒯,䒯 → 𫇦丸 | 𫇦 → 艹冖 | 丸 → 九丶 | 九 → ㇓㇈,,,,,,
-iilvv-i,茕,茕 → ⿱𫇦卂 | 𫇦 → ⿱艹冖 | 卂 → ⿹⺄十,qiong2,6194.0,47.0,.|.|.hV.nV.).V-l.0,⿱⿱艹冖⿹⺄十,.|.|.hV.nV.).V-l.0
-iilvvvlijl,萦,萦 → ⿱𫇦糸 | 𫇦 → ⿱艹冖 | 糸 → ⿱幺小 | 幺 → ⿽𠃋厶,ying2,3903.0,627.0,.|.|.hV.nV.|.⿽.Vj-.d.w,⿱⿱艹冖⿱⿽𠃋厶小,.|.|.hV.nV.|.⿽.Vj-.d.w
-iiv,艺,艺 → ⿱艹乙,yi4,786.0,45218.0,.|.hV.Vr-,⿱艹乙,.|.hV.Vr-
-iiv----i,茟,茟 → 艹聿 | 聿 → 肀二 | 肀 → コ十,,,,,,
-iiv----jl,真,真 → ⿱十具 | 具 → ⿱⿴𠀃三八 | 𠀃 → ⿱冂一,zhen1,204.0,198416.0,.|.0.|.).|.n.-.3.8,⿱十⿱⿴⿱冂一三八,.|.0.|.).|.n.-.3.8
-iiv----jl-jiv---jl,顛,顛 → ⿰真頁 | 真 → ⿱十具 | 具 → ⿱⿴𠀃三八 | 𠀃 → ⿱冂一 | 頁 → ⿱丆貝 | 貝 → ⿱目八,dian1,8719.0,2.0,._.|.0.|.).|.n.-.3.8.|.rXX.|.e.8,⿰⿱十⿱⿴⿱冂一三八⿱丆⿱目八,._.|.0.|.).|.n.-.3.8.|.rXX.|.e.8
-iiv----jl-jivjl,颠,颠 → ⿰真页 | 真 → ⿱十具 | 具 → ⿱⿴𠀃三八 | 𠀃 → ⿱冂一 | 页 → ⿱丆贝,dian1,2134.0,5921.0,._.|.0.|.).|.n.-.3.8.|.rXX.e8S,⿰⿱十⿱⿴⿱冂一三八⿱丆贝,._.|.0.|.).|.n.-.3.8.|.rXX.e8S
-iiv----jljiv---vllll,鷏,鷏 → 真鳥 | 真 → 十具 | 具 → 𠀃三八 | 𠀃 → 冂一,,,,,,
-iiv---i,龺,龺 → 十早 | 早 → 日十,,,,,,
-iiv---i-vjl,戟,戟 → ⿰𠦝戈 | 𠦝 → ⿱十早 | 早 → ⿱日十,ji3,3726.0,775.0,._.|.0.|.b.0.-va,⿰⿱十⿱日十戈,._.|.0.|.b.0.-va
-iiv---ij-v,乾,乾 → ⿰龺乞 | 龺 → ⿱十早 | 早 → ⿱日十 | 乞 → ⿱𠂉乙,gan1/qian2,1999.0,7057.0,._.|.0.|.b.0.|.fV.Vr-,⿰⿱十⿱日十⿱𠂉乙,._.|.0.|.b.0.|.fV.Vr-
-iiv---ijl,倝,倝 → 龺人 | 龺 → 十早 | 早 → 日十,,,,,,
-iiv---ijl-i--ivllll,䮧,䮧 → 龺𠆢馬 | 龺 → 十早 | 早 → 日十,,,,,,
-iiv---ijl-ijl,榦,榦 → 龺𠆢木 | 龺 → 十早 | 早 → 日十,,,,,,
-iiv---ijlj--v,㲦,㲦 → 龺𠆢毛 | 龺 → 十早 | 早 → 日十,,,,,,
-iiv---ijljil---i-,雗,雗 → 龺𠂉隹 | 龺 → 十早 | 早 → 日十,,,,,,
-iiv---ijljiv---vllll,鶾,鶾 → 龺𠂉鳥 | 龺 → 十早 | 早 → 日十,,,,,,
-iiv---ijlvjjvjj,翰,翰 → ⿰龺⿱𠆢羽 | 龺 → ⿱十早 | 早 → ⿱日十,han4,1881.0,8279.0,._.|.0.|.b.0.|.aV.v=v=,⿰⿱十⿱日十⿱𠆢羽,._.|.0.|.b.0.|.aV.v=v=
-iiv---ijvll,朝,朝 → ⿰龺月 | 龺 → ⿱十早 | 早 → ⿱日十,chao2/zhao1,593.0,68380.0,._.|.0.|.b.0.g,⿰⿱十⿱日十月,._.|.0.|.b.0.g
-iiv---il,荨,荨 → ⿱艹寻 | 寻 → ⿱𫜹寸 | 𫜹 → ⿼コ一 | 寸 → ⿹𬺰丶,qian2,4259.0,431.0,.|.hV.|.⿼.c.-.).0X.\,⿱艹⿱⿼コ一⿹𬺰丶,.|.hV.|.⿼.c.-.).0X.\
-iiv---iv,乹,乹 → 龺乚 | 龺 → 十早 | 早 → 日十,,,,,,
-iiv---ivi-iv--vi,韓,韓 → ⿰龺韋 | 龺 → ⿱十早 | 早 → ⿱日十 | 韋 → ⿳𫝀口㐄 | 㐄 → ⿻十𠃋,han2,9628.0,1.0,._.|.0.|.b.0.||.lc.o.).0.Vj-,⿰⿱十⿱日十⿳𫝀口⿻十𠃋,._.|.0.|.b.0.||.lc.o.).0.Vj-
-iiv---ivjjvjj,䎐,䎐 → 𠦝羽 | 𠦝 → 十早 | 早 → 日十 | 羽 → 习习 | 习 → 𠃌冫 | 习 → 𠃌冫,,,,,,
-iiv---vlvll,悳,悳 → 直心 | 直 → 十𠀃三 | 𠀃 → 冂一,,,,,,
-iiv--i-vl,瓳,瓳 → 古瓦 | 古 → 十口,,,,,,
